,Core,Rim,Inv,Neg,Pos
NAPB,5.757710969,6.116231879,7.010444375,3.152201092,2.120369295
NAPG,5.629019888,5.712217619,6.015967423,3.575046466,4.204632478
NAPRT,5.875492511,5.836382933,5.673727062,5.551432483,5.392380476
NARF,6.64775309,6.528968926,6.341473991,4.865122976,4.469065743
NARS1,8.225939021,8.189121819,8.215635137,5.465618854,6.543218238
NARS2,4.970501147,4.939537834,4.978784006,3.691651207,3.538602187
NASP,7.080576039,6.931872899,7.07407055,5.580472392,4.617801432
NAT10,6.049828244,6.014320399,5.99061048,4.017967092,3.022957577
NAT14,7.416508171,7.511647715,7.357176257,5.647157518,3.771175916
NAT16,3.600762759,3.944261839,2.76858164,1.410416805,0.930929823
NAT2,1.05085428,1.575977757,0.942811557,0.697449497,0.29362668
NAT8,1.06669218,0.936802512,1.093318525,0.164289244,0.144928248
NAT8L,6.89853906,7.24717444,7.746733895,5.095265294,4.1268007
NAT9,6.635908901,6.643256076,6.506661614,4.611325979,3.557188751
NATD1,4.536354125,4.564929802,4.390954463,2.714566024,2.505840128
NAV3,2.892988174,3.284400933,4.266343808,2.64577107,2.410953728
NAXD,6.788092206,6.842061688,6.992740536,4.524742228,4.008546511
NBAS,5.433198446,5.340607003,5.367132751,3.088824269,3.203124125
NBEAL1,2.453228676,2.396196459,2.358797694,0.879674264,1.193878239
NBEAP1,0.235945714,0.314491569,0.482654232,0.535044808,0.421444892
NBN,6.267102793,6.149653348,6.158468449,3.568418465,2.806359223
NBPF15,0.342316415,0.45422788,0.315775849,0.073529013,0.14959209
NBPF22P,0.006471895,0.026501328,0,0.015919074,0.266367563
NBPF3,3.318931243,3.216945965,3.372336667,2.230908153,1.38782488
NBPF4,0,0.027549674,0.006431893,0,0.015279818
NBPF6,0.00719652,0,0.007329875,0.006965614,0
NBPF7,0.054576429,0.081673846,0.06013786,0.019156676,0.310172237
NBR1,7.053870687,7.027587666,7.121318638,5.243372143,5.784205804
NCALD,6.021503295,6.2067467,6.656201227,4.092109972,2.711745464
NCAN,7.293674633,7.686524212,8.163089759,4.193890318,3.222785752
NCAPD3,4.881800032,4.818893252,4.767961477,4.026531636,2.829136168
NCAPG2,4.867503619,4.674170484,4.477952329,3.309470335,2.482526719
NCAPH,3.292259346,3.161000835,2.822760875,2.769660732,2.014714803
NCBP2,7.305137902,7.290996086,7.137763758,4.81120694,4.553703502
NCBP3,5.029289044,4.964354533,5.105783953,3.680002098,3.928932924
NCCRP1,0.239718321,0.221183327,0.07144178,0.92539098,0.972611112
NCEH1,4.541216025,4.778896799,4.918979907,2.97685244,2.371540131
NCF1,0.669341957,0.758261863,0.743475876,1.089520839,0.916325769
NCF1C,0.979365552,0.905647677,0.647932722,1.047328293,0.55477632
NCF2,5.153118942,5.335515153,4.762616642,6.286837063,5.795205576
NCF4,5.097789454,5.390842003,4.559493468,6.47228287,5.895920062
NCK1,6.107786709,5.962671223,5.762168631,3.790351709,3.463482646
NCK2,6.726152589,6.886727369,6.977062098,5.885515153,5.877434309
NCKAP1,7.838339849,7.762172013,7.928324508,5.21679107,4.344850276
NCKAP1L,5.202236101,5.40677287,5.094576884,5.64476285,5.18244413
NCKAP5,3.088347228,3.029214731,3.245436587,1.544686335,2.061841026
NCKAP5L,5.546354439,5.586605702,5.532718013,3.694943091,3.519117302
NCKIPSD,6.14421663,6.219126291,6.376787392,4.228595163,3.341484811
NCLN,6.55508797,6.665645328,6.562895861,5.424316023,5.205833309
NCMAP,0.835340892,0.978823927,1.429915255,1.129130494,0.986086598
NCOA1,6.263086773,6.267268027,6.691958103,3.661249656,3.314666141
NCOA2,4.538902949,4.489666483,4.698777358,2.407895258,2.979841184
NCOA3,4.966631949,4.910952396,5.055358597,3.504315005,4.783641849
NCOA5,6.01422878,5.997958462,6.057614482,4.131740351,3.477305638
NCOA6,5.476921824,5.410655717,5.497573642,3.205417356,3.512117101
NCOA7,4.184580062,4.543530162,4.944339982,3.241110246,4.720965631
NCOR1,5.84531483,5.752900387,5.989156116,3.533374532,3.876401248
NCOR1P1,0,0,0.036585495,0.391183889,0
NCOR2,7.267952208,7.22249712,7.23841237,5.549498373,6.158624136
NCR1,0,0,0,0,0
NCR2,0.025760638,0.029035823,0.014581249,0.214425546,0
NCR3LG1,2.179647614,2.335614522,2.578833351,1.670413324,1.165286051
NCS1,0.003195463,0.003349931,0.049903462,0.003063784,0
NDC1,5.107708575,4.949374171,4.85695902,2.872749665,3.423735829
NDC80,4.289759434,4.097718983,3.179292702,2.854726871,1.511613307
NDEL1,6.174542053,6.236015748,6.228415844,4.433589434,5.162593891
NDFIP1,8.751870349,8.793160828,8.985302554,6.808818751,6.815398358
NDNF,2.240155168,2.117623817,2.222608453,0.715440279,1.247907965
NDOR1,6.0548916,6.020128827,5.873333334,3.914368913,3.683842556
NDP,5.71223869,5.844688348,6.135488652,2.985759646,3.285914081
NDRG1,9.133451935,9.089851719,8.192096879,8.03511153,7.714596476
NDRG3,6.642180156,6.811810506,7.431447749,4.958705567,4.612865994
NDRG4,7.487800175,7.771793639,8.391565696,5.009479012,3.19481484
NDST1,6.691483969,6.914194583,7.124998298,4.152216698,5.180233806
NDST2,4.936413384,4.975987533,5.114225122,3.757018204,3.637660426
NDST3,0.760687759,0.793771737,1.563262946,0.116391099,1.269335466
NDST4,0.403417999,0.451087529,0.580855882,0.370580606,0.317351702
NDUFA10,5.957033735,5.938169685,6.303854431,4.777705627,3.87215559
