Samples,Neftel,Garofano,ALA_sig_UCell,GPM_UCell,MTC_UCell,NEU_UCell,PPR_UCell,MES2_UCell,MES1_UCell,AC_UCell,OPC_UCell,NPC1_UCell,NPC2_UCell,Injury_UCell,Developmental_UCell
MGH129CD45neg_P1_H07,MES1,GPM,0.128859788,0.063947712,0.156169935,0.01676,0.059424837,0.20048366,0.417581699,0.50225,0.139084967,0.107973856,0.13820915,0.276986421,0.253120654
MGH129CD45neg_P2_A01,MES1,GPM,0.134542328,0.087111111,0.166496732,0,0.029882353,0.400784314,0.602176471,0.412066667,0.170653595,0.063895425,0.048849673,0.29316382,0.240471881
MGH129CD45neg_P2_A09,MES1,GPM,0.148818783,0.065764706,0.161372549,0,0.039542484,0.195843137,0.486980392,0.349091667,0.159568627,0.092594771,0.106673203,0.289048182,0.246007157
MGH129CD45neg_P2_B03,MES1,GPM,0.135507937,0.063084967,0.117137255,0,0.03048366,0.321156863,0.551359477,0.439191667,0.190156863,0.081320261,0.035052288,0.292009636,0.241987219
MGH129CD45neg_P2_B07,MES1,GPM,0.138531746,0.11254902,0.091503268,0.035306667,0.02675817,0.178039216,0.255359477,0.23925,0.072366013,0.089215686,0.068130719,0.285931231,0.234271984
MGH129CD45neg_P3_A06,MES1,GPM,0.148587302,0.045202614,0.165575163,0.017586667,0.029960784,0.192,0.253006536,0.312016667,0.065359477,0.122581699,0.08220915,0.284301796,0.240641616
MGH129CD45neg_P3_A11,MES1,GPM,0.12375,0.042019608,0.151176471,0.018093333,0.032117647,0.127385621,0.382954248,0.3969,0.178575163,0.081150327,0.101385621,0.284864652,0.25623773
MGH129CD45neg_P3_C06,MES1,GPM,0.127435185,0.091431373,0.133117647,0,0.058052288,0.195058824,0.351934641,0.57455,0.204470588,0.158405229,0.103673203,0.281787122,0.264451431
MGH129CD45neg_P3_F07,MES1,GPM,0.148455026,0.039254902,0.122111111,0,0.061960784,0.199594771,0.428248366,0.583866667,0.225535948,0.149176471,0.12475817,0.281478318,0.261151329
MGH129CD45neg_P3_H04,MES1,GPM,0.13078836,0.041176471,0.21930719,0,0.023908497,0.17275817,0.372555556,0.40725,0.168732026,0.112980392,0.100522876,0.280130968,0.24376227
MGH129CD45neg_P3_H05,MES1,GPM,0.143026455,0.082457516,0.159366013,0,0,0.234594771,0.38751634,0.726608333,0.209124183,0.131091503,0.078300654,0.277773982,0.251488753
MGH136CD45neg_P2_E10,MES1,GPM,0.113138889,0.033026144,0.179346405,0.0227,0,0.409777778,0.37675817,0.579683333,0.188359477,0.110006536,0.103856209,0.277734998,0.260784254
MGH136CD45neg_P2_F12,MES1,GPM,0.122193122,0.036614379,0.163261438,0,0.058287582,0.337058824,0.243137255,0.497158333,0.16151634,0.146470588,0.093830065,0.275238283,0.261284765
MGH143CD45neg_P9_B05,MES1,MTC,0.139708995,0.089098039,0.151326797,0.020013333,0.017882353,0.213614379,0.307183007,0.378058333,0.079248366,0.111712418,0.108418301,0.284522996,0.234417178
MGH143CD45neg_P9_E06,MES1,GPM,0.156359788,0.031058824,0.138522876,0,0.021627451,0.273908497,0.181803922,0.348758333,0.149398693,0.167006536,0.070104575,0.274313622,0.254641616
MGH152CD45neg_P1_A01,MES1,GPM,0.116187831,0.048156863,0.085823529,0.020373333,0,0.159535948,0.133281046,0.305033333,0.200823529,0.222130719,0.150614379,0.274640385,0.260122699
MGH152CD45neg_P1_A02,MES1,PPR,0.116407407,0.043346405,0.151882353,0,0.084993464,0.169163399,0.208895425,0.396816667,0.251398693,0.28220915,0.118130719,0.266465615,0.25547546
MGH152CD45neg_P1_A04,MES1,PPR,0.10767328,0.021045752,0.15948366,0.01712,0.165529412,0.180542484,0.164686275,0.209816667,0.206653595,0.207522876,0.079712418,0.266561542,0.248104294
MGH152CD45neg_P1_A06,MES1,PPR,0.101349206,0.047535948,0.126431373,0.023933333,0.065856209,0.139006536,0.165294118,0.3356,0.245686275,0.179568627,0.100575163,0.269024091,0.252302147
MGH152CD45neg_P1_A07,MES1,GPM,0.115361111,0.048052288,0.150830065,0.018573333,0.027346405,0.128405229,0.223202614,0.325325,0.148921569,0.152607843,0.076771242,0.275040298,0.260410532
MGH152CD45neg_P1_A10,MES1,PPR,0.106780423,0.027947712,0.174019608,0,0.104464052,0.189620915,0.137960784,0.250633333,0.217686275,0.216183007,0.130143791,0.266232589,0.244789366
MGH152CD45neg_P1_A11,MES1,GPM,0.109649471,0.078653595,0.190862745,0,0.033228758,0.156529412,0.208006536,0.345916667,0.17896732,0.25303268,0.09779085,0.276108191,0.250521984
MGH152CD45neg_P1_A12,MES1,GPM,0.11260582,0.040052288,0.142098039,0.016346667,0.035738562,0.132627451,0.069281046,0.396641667,0.190222222,0.239522876,0.161699346,0.274243539,0.255989264
MGH152CD45neg_P1_B03,MES1,PPR,0.124199735,0.039176471,0.162385621,0,0.068098039,0.158424837,0.170941176,0.199241667,0.163490196,0.204490196,0.167215686,0.268127026,0.252364519
MGH152CD45neg_P1_B04,MES1,PPR,0.118013228,0.020823529,0.160183007,0,0.157816993,0.147810458,0.180183007,0.255575,0.180176471,0.130849673,0.096039216,0.266785808,0.246999489
MGH152CD45neg_P1_B05,MES1,PPR,0.127156085,0.050849673,0.179431373,0,0.087542484,0.142026144,0.259228758,0.39345,0.175470588,0.214993464,0.13069281,0.275253176,0.253121677
MGH152CD45neg_P1_B06,MES1,PPR,0.114117725,0.046679739,0.105718954,0,0.066,0.185882353,0.179137255,0.181833333,0.115464052,0.219071895,0.172313725,0.272938677,0.244253579
MGH152CD45neg_P1_B07,MES1,PPR,0.118439153,0.047084967,0.154098039,0.018426667,0.054836601,0.152784314,0.204575163,0.422091667,0.243607843,0.201437908,0.114405229,0.272806395,0.256782209
MGH152CD45neg_P1_B08,MES1,PPR,0.116492063,0.023372549,0.179490196,0,0.130281046,0.161764706,0.105973856,0.279325,0.200058824,0.22854902,0.115960784,0.262591327,0.251498466
MGH152CD45neg_P1_B09,MES1,PPR,0.105335979,0.041960784,0.109326797,0,0.144470588,0.103607843,0.158660131,0.250083333,0.268248366,0.188588235,0.071509804,0.267020149,0.247751022
MGH152CD45neg_P1_B10,MES1,PPR,0.114492063,0.031777778,0.152183007,0,0.177594771,0.216006536,0.116607843,0.205316667,0.151176471,0.168627451,0.106738562,0.270470434,0.237570552
MGH152CD45neg_P1_B11,MES1,PPR,0.114074074,0.045111111,0.192601307,0.018266667,0.090823529,0.137660131,0.208385621,0.3063,0.214098039,0.230901961,0.101424837,0.272860272,0.248529141
MGH152CD45neg_P1_B12,MES1,PPR,0.102955026,0.025176471,0.114901961,0.029146667,0.039444444,0.146150327,0.126522876,0.38435,0.242026144,0.281261438,0.128071895,0.268506351,0.25551636
MGH152CD45neg_P1_C01,MES1,PPR,0.117193122,0.039228758,0.222006536,0,0.091490196,0.104039216,0.120784314,0.368083333,0.204849673,0.232431373,0.088418301,0.268722733,0.249837423
